经度:0.00000000 纬度：0.00000000

时间窗口
[00:59:22,01:03:16]
[01:38:20,01:41:51]
[05:13:50,05:18:21]
[08:50:40,08:53:43]
[09:28:53,09:33:01]
[13:04:50,13:09:10]
[13:44:36,13:46:56]
[16:42:18,16:43:41]
[17:19:32,17:23:59]
[20:55:55,20:59:48]
[21:34:52,21:38:23]

时间间隙
[00:00:00,00:59:21]
[01:03:17,01:38:19]
[01:41:52,05:13:49]
[05:18:22,08:50:39]
[08:53:44,09:28:52]
[09:33:02,13:04:49]
[13:09:11,13:44:35]
[13:46:57,16:42:17]
[16:43:42,17:19:31]
[17:24:00,20:55:54]
[20:59:49,21:34:51]
[21:38:24,24:00:00]
